Date,Close
10-18-2017,5737.41
10-19-2017,6075.32
10-20-2017,6187.2
10-21-2017,6070.56
10-22-2017,6048.98
10-23-2017,5904.63
10-24-2017,5747.96
10-25-2017,5970.4
10-26-2017,5997.83
10-27-2017,5871.04
10-28-2017,6295.43
10-29-2017,6226.18
10-30-2017,6467.2
10-31-2017,6738.74
11-01-2017,7339.91
11-02-2017,7445.62
11-03-2017,7492.24
11-04-2017,7599.44
11-05-2017,7429.7
11-06-2017,7222.37
11-07-2017,7869.1
11-08-2017,7457.12
11-09-2017,7318.97
11-10-2017,6821.5
11-11-2017,6490.53
11-12-2017,6760.15
11-13-2017,6728.59
11-14-2017,7330.06
11-15-2017,7964.64
11-16-2017,8000.19
11-17-2017,7857.52
11-18-2017,8100.87
11-19-2017,8294.12
11-20-2017,8368.36
11-21-2017,8304.37
11-22-2017,8266.55
11-23-2017,8332.94
11-24-2017,8761.98
11-25-2017,9474.62
11-26-2017,9733.61
11-27-2017,9969.58
11-28-2017,11417.84
11-29-2017,10689.06
11-30-2017,10942.8
12-01-2017,11175.23
12-02-2017,11851.09
12-03-2017,11624.63
12-04-2017,11901.87
12-05-2017,13843.2
12-06-2017,16879.26
12-07-2017,17294.85
12-08-2017,16313.18
12-09-2017,15783.2
12-10-2017,17399.18
12-11-2017,17560.65
12-12-2017,17267.96
12-13-2017,16941.08
12-14-2017,17987.03
12-15-2017,19587.7
12-16-2017,19870.62
12-17-2017,19221.1
12-18-2017,19021.97
12-19-2017,17813.6
12-20-2017,17301.83
12-21-2017,15823.72
12-22-2017,15493.23
12-23-2017,14413.72
12-24-2017,14467.43
12-25-2017,16094.67
12-26-2017,16514.59
12-27-2017,15505.51
12-28-2017,15109.81
12-29-2017,14461.46
12-30-2017,14241.82
12-31-2017,13921.53
01-01-2018,15306.13
01-02-2018,15435.01
01-03-2018,15408.66
01-04-2018,17126.95
01-05-2018,17252.85
01-06-2018,17184.81
01-07-2018,16302.92
01-08-2018,15390.28
01-09-2018,14919.49
01-10-2018,14979.96
01-11-2018,14129.08
01-12-2018,14595.04
01-13-2018,14415.67
01-14-2018,14355.82
01-15-2018,13648.84
01-16-2018,11736.3
01-17-2018,12018.43
01-18-2018,11780.49
01-19-2018,13031.04
01-20-2018,12787.35
01-21-2018,11913.74
01-22-2018,11388.52
01-23-2018,11531.6
01-24-2018,11741.92
01-25-2018,11656.54
01-26-2018,11638.69
01-27-2018,12064.19
01-28-2018,11860.29
01-29-2018,11263.7
01-30-2018,10377.96
01-31-2018,10280.84
02-01-2018,9147.93
02-02-2018,9504.37
02-03-2018,9400.99
02-04-2018,8391.29
02-05-2018,7932.38
02-06-2018,8572.68
02-07-2018,8643.94
02-08-2018,8743.2
02-09-2018,9081.49
02-10-2018,8573.35
02-11-2018,8997.34
02-12-2018,8955.15
02-13-2018,9508.22
02-14-2018,10223.58
02-15-2018,10303.14
02-16-2018,11119.45
02-17-2018,11288.34
02-18-2018,11265.96
02-19-2018,11802.23
02-20-2018,11295.58
02-21-2018,10941.57
02-22-2018,10420.67
